ELR_DataElement,CSVColumnName,Format,Enforce,ListOfValues,IsRequired,RegEX,Pattern,DefaultValue,Context_Label,User Notes,ScratchPad,,
performingFacility,TESTING LAB NAME,,,,,,,,,,,,
performingFacilityCLIA,TESTING LAB CLIA,,,,,,,,,,,,
performingFacilityAddress,TESTING LAB STREET ADDRESS,,,,,,,,,,,,
performingFacilityAddress_Ln2,,,,,,,,,,,,,
performingFacility_City,TESTING LAB CITY,,,,,,,,,,,,
performingFacility_State,TESTING LAB STATE,,,,,,,,,,,,
performingFacility_Zip,TESTING LAB ZIP CODE,,,,,,,,,,,,
performingFacility_CallBackNumber,TESTING LAB PHONE NO,,,,,,,,,,,,
SYMPTOMATIC,,,,,,,,,,,,,
onsetDate,,,,,,,,,,,,,
Pregnant,,,,,,,,,,,,,
Diabetes,,,,,,,,,,,,,
HeartCondition,,,,,,,,,,,,,
Immunocompromised,,,,,,,,,,,,,LAB REF
KidneyDisease,,,,,,,,,,,,,LAB NAME
LiverDisease,,,,,,,,,,,,,CREATED AT
LungDisease,,,,,,,,,,,,,UPDATED AT
Obese,,,,,,,,,,,,,
DESCRIBE_SYMPTOMS,,,,,,,,,,,,,
HCW,,,,,,,,,,,,,
FEVER,,,,,,,,,,,,,
COUGH,,,,,,,,,,,,,
SORE_THROAT,,,,,,,,,,,,,
SORE_THROAT_FLU,,,,,,,,,,,,,
RHINORRHEA,,,,,,,,,,,,,
SHORT_OB,,,,,,,,,,,,,
HEADACHE,,,,,,,,,,,,,
SWEATS,,,,,,,,,,,,,
GASTROINTESTINAL,,,,,,,,,,,,,
WEAKNESS,,,,,,,,,,,,,
isThisFirstTest,PATIENT FIRST COVID TEST,,,,,,,,,,,,
isAHealthcareWorker,PATIENT EMPLOYED IN HEALTHCARE,,,,,,,,,,,,
isSymptomatic,PATIENT SYMPTOMATIC AS DEFINED BY CDC,,,,,,,,,,,,
symptomOnsetDate,PATIENT SYMPTOM ONSET DATE,,,,,,,,,,,,
isHospitalized,PATIENT HOSPITALIZED,,,,,,,,,,,,
inICU,PATIENT IN ICU,,,,,,,,,,,,
isResidentOfCongregateCareSetting,PATIENT RESIDENT IN A CONGREGATE CARE SETTING,,,,,,,,,,,,
isPregnant,PATIENT PREGNANT,,,,,,,,,,,,
patientAge,PATIENT AGE AT TIME OF COLLECTION (Years),,,,,,,,,,,,
deviceId,,,,,,,,,,,,,
ADDITIONAL_NOTES_1,DEVICE IDENTIFIER INFO,,,,,,,,Performed using:,,,,
ADDITIONAL_NOTES_2,TRAVEL TEST,,,,,,,,,,,,
ADDITIONAL_NOTES_3,,,,,,,,,,,,,
ADDITIONAL_NOTES_4,,,,,,,,,,,,,
ADDITIONAL_NOTES_5,,,,,,,,,,,,,
