ELR_DataElement,CSVColumnName,Format,Enforce,ListOfValues,IsRequired,RegEX,Pattern,DefaultValue,Context_Label,User Notes,ScratchPad,,,,
ProviderAddress,ORDERING_PROVIDER_STREET_ADDRESS,,,,,,,,,,,,,,
ProviderAddress_Ln2,,,,,,,,,,,,,,,
Provider_City,ORDERING_PROVIDER_CITY,,,,,,,,,,,,,,
Provider_State,ORDERING_PROVIDER_STATE,,,,,,,,,,,,,,
Provider_Zip,ORDERING_PROVIDER_ZIP_CODE,,,,,,,,,,,,,,
Provider_CallBackNumber,ORDERING_PROVIDER_PHONE_NO,,,,,,,,,,,,,,
performingFacility,TESTING_LAB_NAME,,,,,,,,,,,,,,
performingFacilityCLIA,TESTING_LAB_CLIA,,,,,,,,,,,,,,
performingFacilityAddress,TESTING_LAB_STREET_ADDRESS,,,,,,,,,,,,,,
performingFacilityAddress_Ln2,,,,,,,,,,,,,,,
performingFacility_City,TESTING_LAB_CITY,,,,,,,,,,,,,,
performingFacility_State,TESTING_LAB_STATE,,,,,,,,,,,,,,
performingFacility_Zip,TESTING_LAB_ZIP_CODE,,,,,,,,,,,,,,
performingFacility_CallBackNumber,TESTING_LAB_PHONE_NO,,,,,,,,,,,,,,
SYMPTOMATIC,,,,,,,,,,,,,,,
onsetDate,,,,,,,,,,,,,,,
Pregnant,,,,,,,,,,,,,,,
Diabetes,,,,,,,,,,,,,,,
HeartCondition,,,,,,,,,,,,,,,
Immunocompromised,,,,,,,,,,,,,,,
KidneyDisease,,,,,,,,,,,,,,,
LiverDisease,,,,,,,,,,,,,,,
LungDisease,,,,,,,,,,,,,,,
Obese,,,,,,,,,,,,,,,
DESCRIBE_SYMPTOMS,,,,,,,,,,,,,,,
HCW,,,,,,,,,,,,,,,
FEVER,,,,,,,,,,,,,,,
COUGH,,,,,,,,,,,,,,,
SORE_THROAT,,,,,,,,,,,,,,,
SORE_THROAT_FLU,,,,,,,,,,,,,,,
RHINORRHEA,,,,,,,,,,,,,,,
SHORT_OB,,,,,,,,,,,,,,,
HEADACHE,,,,,,,,,,,,,,,
SWEATS,,,,,,,,,,,,,,,
GASTROINTESTINAL,,,,,,,,,,,,,,,
WEAKNESS,,,,,,,,,,,,,,,
isThisFirstTest,PATIENT_FIRST_COVID_TEST,,,,,,,,,,,,,,
isAHealthcareWorker,PATIENT_EMPLOYED_IN_HEALTHCARE,,,,,,,,,,,,,,
isSymptomatic,PATIENT_SYMPTOMATIC_AS_DEFINED_BY_CDC,,,,,,,,,,,,,,
symptomOnsetDate,PATIENT_SYMPTOM__ONSET_DATE,,,,,,,,,,,,,,
isHospitalized,PATIENT_HOSPITALIZED,,,,,,,,,,,,,,
inICU,PATIENT_IN_ICU,,,,,,,,,,,,,,
isResidentOfCongregateCareSetting,PATIENT_RESIDENT_IN_A_CONGREGATE_CARE_SETTING,,,,,,,,,,,,,,
isPregnant,PATIENT_PREGNANT,,,,,,,,,,,,,,
patientAge,PATIENT_AGE_AT_TIME_OF_COLLECTION,,,,,,,,,,,,,,
deviceId,,,,,,,,,,,,,,,
ADDITIONAL_NOTES_1,PATIENT_EMAIL,,,,,,,, ,,,,,,
ADDITIONAL_NOTES_2,,,,,,,,,,,,,,,
ADDITIONAL_NOTES_3,,,,,,,,,,,,,,,
ADDITIONAL_NOTES_4,,,,,,,,,,,,,,,
ADDITIONAL_NOTES_5,,,,,,,,,,,,,,,
